Total,Active->Inactive,Inactive->Cache,Inactive->Flush,Queued->Free,Time,NewTime
81,15,0,0,0,31,0
77,8,0,0,0,32,1
4519,0,0,0,0,33,2
11326,0,0,0,0,34,3
16976,0,0,0,0,35,4
21373,0,0,0,0,36,5
26004,0,0,0,0,37,6
29270,0,0,0,0,38,7
33924,0,0,0,0,39,8
37343,0,0,0,0,40,9
40780,2130,0,0,0,41,10
477450,1910,1723,0,0,42,11
242231,23500,1032,1143,0,42,11
109448,22753,6648,1528,0,43,12
32754,9280,8199,0,0,43,12
9295,0,7252,0,0,43,12
54495,8328,7742,1070,0,44,13
33162,0,8003,0,0,45,14
64449,5029,8231,277,0,45,14
95894,22671,4978,1562,0,46,15
33373,8765,8069,0,0,47,16
34622,469,8812,0,0,47,16
57962,8796,7654,1157,0,48,17
33245,320,8151,0,0,48,17
34455,8432,7587,0,0,49,18
108290,22539,3034,2030,0,50,19
33526,5753,8406,0,0,51,20
36755,1473,8443,0,0,51,20
35808,10546,8814,0,0,52,21
137096,22065,5991,2575,0,53,22
33768,1656,8477,0,0,53,22
36550,12506,8925,0,0,54,23
35934,3402,8727,0,0,55,24
10240,0,7239,0,0,55,24
152121,15618,6823,1989,0,55,24
35062,5119,8544,0,0,56,25
34659,6542,8813,0,0,57,26
33792,5588,8812,0,0,57,26
115240,21329,6098,2506,0,58,27
32455,16288,7733,0,0,59,28
34270,750,8812,0,0,59,28
9156,0,7390,0,0,59,28
336,0,0,0,0,59,28
8046,0,7446,0,0,59,28
108092,6570,7230,1394,0,60,29
33664,4844,8524,0,0,60,29
35392,7379,8814,0,0,61,30
173115,22623,5709,2251,0,62,31
1885,75,1708,1,0,62,31
244,158,0,0,0,63,32
235,173,0,0,0,64,33
217,112,0,0,0,65,34
196,36,0,0,0,67,36
53031.16981,5953.773585,4992.320755,367.6037736,,,
